Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Green Bay city, Wisconsin",1600000US5531000,41811,3473,54096,3476
"Kenosha city, Wisconsin",1600000US5539225,48235,4304,64310,6093
"Milwaukee city, Wisconsin",1600000US5553000,37495,1521,51585,1438
"Madison city, Wisconsin",1600000US5548000,57690,2473,75640,3240
"Guaynabo zona urbana, Puerto Rico",1600000US7232522,46104,4565,79546,11174
"Caguas zona urbana, Puerto Rico",1600000US7210334,21204,3540,31034,2541
"Bayamón zona urbana, Puerto Rico",1600000US7206593,25352,2073,34632,1685
"Oshkosh city, Wisconsin",1600000US5560500,44689,3166,53178,3079
"Racine city, Wisconsin",1600000US5566000,42472,6823,53617,3816
"Ponce zona urbana, Puerto Rico",1600000US7263820,15751,988,27133,2178
"Carolina zona urbana, Puerto Rico",1600000US7214290,27062,3460,41196,3991
"Mayagüez zona urbana, Puerto Rico",1600000US7252431,12734,1777,22720,3129
"San Juan zona urbana, Puerto Rico",1600000US7276770,18887,1482,40076,3175
"Billings city, Montana",1600000US3006550,58375,3066,71691,4400
"Syracuse city, New York",1600000US3673000,36457,1922,55621,3880
"Schenectady city, New York",1600000US3665508,46461,4842,56182,4876
"Yonkers city, New York",1600000US3684000,56979,4203,83345,4691
"Wilmington city, North Carolina",1600000US3774440,42232,3691,61984,4618
"Bismarck city, North Dakota",1600000US3807200,57596,6081,78237,6898
"Canton city, Ohio",1600000US3912000,30601,3825,39795,3356
"Oklahoma City city, Oklahoma",1600000US4055000,50739,1005,71043,2107
"Chesapeake city, Virginia",1600000US5116000,67491,4112,83691,3210
"Kent city, Washington",1600000US5335415,66790,3700,84962,6877
"Auburn city, Washington",1600000US5303180,70602,4836,83331,4239
"Marysville city, Washington",1600000US5343955,75120,4530,77897,4254
"Yakima city, Washington",1600000US5380010,44050,4394,61606,7609
"Frisco city, Texas",1600000US4827684,123055,8926,141986,8794
"Wichita Falls city, Texas",1600000US4879000,44448,4257,58422,3809
"Reading city, Pennsylvania",1600000US4263624,26531,2824,35820,2511
"Union City city, New Jersey",1600000US3474630,45558,4076,53985,4072
"Paterson city, New Jersey",1600000US3457000,31552,2072,46208,4143
"Greensboro city, North Carolina",1600000US3728000,44934,2516,64017,3020
"Virginia Beach city, Virginia",1600000US5182000,67281,1670,82439,2224
"San Antonio city, Texas",1600000US4865000,48869,1323,65224,1761
"South Jordan city, Utah",1600000US4970850,99681,7210,124263,13980
"Dale City CDP, Virginia",1600000US5121088,82994,5752,96808,6156
"Norfolk city, Virginia",1600000US5157000,45996,2137,65199,3056
"Memphis city, Tennessee",1600000US4748000,36908,897,56210,2344
"Beaverton city, Oregon",1600000US4105350,56564,5783,78448,7189
"Bend city, Oregon",1600000US4105800,52905,9039,84014,10819
"Eugene city, Oregon",1600000US4123850,45927,3977,64184,3749
"Lincoln city, Nebraska",1600000US3128000,51503,1416,67465,2686
"Elizabeth city, New Jersey",1600000US3421000,44016,3445,55167,3437
"Camden city, New Jersey",1600000US3410000,25643,2408,37831,3685
"Newark city, New Jersey",1600000US3451000,30966,1386,45358,2894
"Brentwood CDP, New York",1600000US3608026,76941,10654,91442,7991
"Buffalo city, New York",1600000US3611000,32509,2333,47720,2393
"New Rochelle city, New York",1600000US3650617,76496,8893,115244,8905
"Fayetteville city, North Carolina",1600000US3722920,40408,1935,55146,3354
"Toledo city, Ohio",1600000US3977000,35289,1344,48065,2286
"Cincinnati city, Ohio",1600000US3915000,35001,2472,56357,2760
"Broken Arrow city, Oklahoma",1600000US4009050,70242,2573,85845,4838
"Garland city, Texas",1600000US4829000,55725,2671,68571,3551
"Richardson city, Texas",1600000US4861796,80398,7796,106343,8062
"Harlingen city, Texas",1600000US4832372,35810,4381,53901,6754
"Bryan city, Texas",1600000US4810912,44486,6554,60954,4738
"Temple city, Texas",1600000US4872176,44749,4706,62671,6685
"Kirkland city, Washington",1600000US5335940,102420,7125,134959,11446
"Tacoma city, Washington",1600000US5370000,52437,3123,65803,2509
"Kennewick city, Washington",1600000US5335275,52202,6147,61624,4163
"O'Fallon city, Missouri",1600000US2954074,74961,8885,91821,6350
"Bayonne city, New Jersey",1600000US3403580,53731,6731,71606,7383
"Jersey City city, New Jersey",1600000US3436000,59485,4214,85480,3576
"Albany city, New York",1600000US3601000,38267,3964,61477,8291
"New York city, New York",1600000US3651000,55752,592,89680,1175
"Rochester city, New York",1600000US3663000,31946,1373,42680,1907
"Cheektowaga CDP, New York",1600000US3615000,52229,5722,60843,4014
"Mount Vernon city, New York",1600000US3649121,58097,6060,74547,5783
"High Point city, North Carolina",1600000US3731400,40263,3035,61041,6074
"Gastonia city, North Carolina",1600000US3725580,42713,3606,59953,4731
"Asheville city, North Carolina",1600000US3702140,43061,3662,60267,4661
"Abilene city, Texas",1600000US4801000,44176,6408,63062,5624
"San Angelo city, Texas",1600000US4864472,46353,6950,63999,6315
"Austin city, Texas",1600000US4805000,62250,1457,90336,2578
"Amarillo city, Texas",1600000US4803000,50192,2681,67407,4168
"Salt Lake City city, Utah",1600000US4967000,48761,4251,75205,4383
"St. Charles city, Missouri",1600000US2964082,59006,6473,74623,4796
"Greenville city, North Carolina",1600000US3728080,34305,4215,59420,6633
"Fargo city, North Dakota",1600000US3825700,45856,3997,68647,4564
"Akron city, Ohio",1600000US3901000,34639,2624,49548,3162
"Youngstown city, Ohio",1600000US3988000,23984,2568,36195,4685
"El Paso city, Texas",1600000US4824000,45069,1995,57990,1983
"Mesquite city, Texas",1600000US4847892,47518,4456,59027,3743
"New Braunfels city, Texas",1600000US4850820,61330,3598,77454,6559
"Carrollton city, Texas",1600000US4813024,67365,7691,88110,4760
"Dallas city, Texas",1600000US4819000,45918,937,77636,2356
"Round Rock city, Texas",1600000US4863500,75974,5140,90779,6941
"Tyler city, Texas",1600000US4874144,43222,4378,74051,8006
"Brownsville city, Texas",1600000US4810768,34050,3229,49901,4618
"Flower Mound town, Texas",1600000US4826232,120084,6411,145522,9734
"North Richland Hills city, Texas",1600000US4852356,61498,6461,80964,6812
"East Orange city, New Jersey",1600000US3419390,40723,7467,58440,5827
"Raleigh city, North Carolina",1600000US3755000,56910,2035,81240,3596
"Concord city, North Carolina",1600000US3714100,52834,6883,72845,5848
"Jacksonville city, North Carolina",1600000US3734200,41375,5412,51977,4922
"Charlotte city, North Carolina",1600000US3712000,53919,1998,81373,2094
"Winston-Salem city, North Carolina",1600000US3775000,41287,2473,67331,5322
"Centreville CDP, Virginia",1600000US5114440,104056,7028,123818,7204
"Alexandria city, Virginia",1600000US5101000,90056,4336,122755,6705
"Everett city, Washington",1600000US5322640,51755,3020,70379,5852
"Corpus Christi city, Texas",1600000US4817000,51255,2134,68937,3111
"Atascocita CDP, Texas",1600000US4804462,87235,16922,112175,17183
"Hampton city, Virginia",1600000US5135000,51867,4923,62903,4415
"Arlington CDP, Virginia",1600000US5103000,106768,6543,137484,5202
"Newport News city, Virginia",1600000US5156000,48630,3600,64210,4414
"Lynchburg city, Virginia",1600000US5147672,39374,3181,62033,7762
"Cary town, North Carolina",1600000US3710740,95374,6398,117295,6043
"Cleveland city, Ohio",1600000US3916000,28831,1262,39269,1295
"Dayton city, Ohio",1600000US3921000,30135,2414,40144,1795
"Columbus city, Ohio",1600000US3918000,47401,1636,61071,1603
"Missouri City city, Texas",1600000US4848804,92696,7738,111513,9603
"Plano city, Texas",1600000US4858016,83769,4353,110741,5199
"Conroe city, Texas",1600000US4816432,50112,7040,69808,7892
"Pasco city, Washington",1600000US5353545,60054,4482,70502,7039
"North Las Vegas city, Nevada",1600000US3251800,53952,4147,62935,3094
"Enterprise CDP, Nevada",1600000US3223770,70445,5109,87101,5699
"Durham city, North Carolina",1600000US3719000,52106,2696,72440,3747
"Parma city, Ohio",1600000US3961000,52093,4263,62199,3674
"Lorain city, Ohio",1600000US3944856,35447,2823,44541,4147
"Lubbock city, Texas",1600000US4845000,45551,2004,61598,3036
"Allen city, Texas",1600000US4801924,100167,7523,119074,10956
"Houston city, Texas",1600000US4835000,48064,1178,76576,1752
"Sugar Land city, Texas",1600000US4870808,111124,12915,145062,10745
"Grand Prairie city, Texas",1600000US4830464,60838,3156,75108,5410
"Lewisville city, Texas",1600000US4842508,56254,3215,69789,3512
