Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Mississippi,0400000US28,43529,855,60017,1101
Missouri,0400000US29,53578,629,72959,757
Montana,0400000US30,53386,1427,70994,1690
Nebraska,0400000US31,59970,1014,77235,1056
Nevada,0400000US32,58003,947,78424,1258
New Hampshire,0400000US33,73381,1694,94780,1711
New Jersey,0400000US34,80088,672,110120,935
New Mexico,0400000US35,46744,1195,64604,1260
New York,0400000US36,64894,507,97116,728
North Carolina,0400000US37,52752,510,74106,613
North Dakota,0400000US38,61843,1052,80663,2198
Ohio,0400000US39,54021,411,73337,569
Oklahoma,0400000US40,50051,575,68020,763
Oregon,0400000US41,60212,796,80144,900
Pennsylvania,0400000US42,59195,443,81006,509
Rhode Island,0400000US44,63870,1861,85279,1876
South Carolina,0400000US45,50570,532,70214,942
South Dakota,0400000US46,56521,1314,73458,1993
Tennessee,0400000US47,51340,410,72008,847
Texas,0400000US48,59206,490,82768,416
Vermont,0400000US50,57513,2088,76560,2121
Utah,0400000US49,68358,1229,86442,1379
Virginia,0400000US51,71535,544,97639,912
Washington,0400000US53,70979,583,94297,793
West Virginia,0400000US54,43469,1393,59557,1201
Wisconsin,0400000US55,59305,587,77369,664
Wyoming,0400000US56,60434,1759,75855,2636
Puerto Rico,0400000US72,19343,404,31094,771
Alabama,0400000US01,48123,768,66337,723
Alaska,0400000US02,73181,2628,92674,2705
Arizona,0400000US04,56581,516,77451,752
Arkansas,0400000US05,45869,760,63560,923
California,0400000US06,71805,294,101761,503
Colorado,0400000US08,69117,780,92465,963
Delaware,0400000US10,62852,2464,86577,2779
District of Columbia,0400000US11,82372,2651,121095,3228
Connecticut,0400000US09,74168,1345,107420,1598
Florida,0400000US12,52594,364,76053,513
Georgia,0400000US13,56183,572,79157,691
Idaho,0400000US16,52225,871,69958,1735
Hawaii,0400000US15,77765,1795,98553,1723
Illinois,0400000US17,62992,544,88160,551
Indiana,0400000US18,54181,658,71510,709
Iowa,0400000US19,58570,851,75455,920
Kansas,0400000US20,56422,702,75822,912
Kentucky,0400000US21,48375,630,67090,784
Louisiana,0400000US22,46145,634,65910,841
Maine,0400000US23,56277,1168,73598,1747
Maryland,0400000US24,80776,707,106035,1053
Massachusetts,0400000US25,77385,907,106641,1071
Michigan,0400000US26,54909,440,75449,519
Minnesota,0400000US27,68388,658,90915,770
