Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Jefferson County, Kentucky",0500000US21111,59049,2142,81043,2507
"Hennepin County, Minnesota",0500000US27053,82369,1322,112406,2308
"Olmsted County, Minnesota",0500000US27109,80096,5379,106347,5213
"Scott County, Minnesota",0500000US27139,108761,5120,132258,7206
"Faulkner County, Arkansas",0500000US05045,57642,6518,74775,8174
"Benton County, Arkansas",0500000US05007,69130,3740,96757,4784
"Sedgwick County, Kansas",0500000US20173,59716,2136,78411,2485
"Douglas County, Kansas",0500000US20045,64233,7902,84149,5497
"Cumberland County, Pennsylvania",0500000US42041,75391,2549,95404,3963
"Allegheny County, Pennsylvania",0500000US42003,64871,1418,91448,2203
"Westmoreland County, Pennsylvania",0500000US42129,59073,3395,77715,2527
"Blair County, Pennsylvania",0500000US42013,51004,3742,69143,3911
"Lawrence County, Pennsylvania",0500000US42073,50547,3852,68125,4583
"Cambria County, Pennsylvania",0500000US42021,49076,3154,63805,3043
"Chester County, Pennsylvania",0500000US42029,102016,3677,144892,5290
"Berks County, Pennsylvania",0500000US42011,67708,2892,84720,2890
"Clay County, Missouri",0500000US29047,70253,2850,85262,3991
"St. Louis County, Missouri",0500000US29189,70022,1923,103189,2707
"Boone County, Missouri",0500000US29019,57013,4500,77332,3698
"Cole County, Missouri",0500000US29051,61371,4011,76584,6984
"Franklin County, Missouri",0500000US29071,60953,3766,74262,5789
"Jackson County, Missouri",0500000US29095,57936,1768,75915,1792
"Buchanan County, Missouri",0500000US29021,46922,5906,62181,4712
"Cass County, Missouri",0500000US29037,72819,7273,89307,5820
"Parker County, Texas",0500000US48367,83262,6017,100470,7452
"Ector County, Texas",0500000US48135,67205,6300,84688,6417
"Collin County, Texas",0500000US48085,96134,2691,122503,3441
"Angelina County, Texas",0500000US48005,53320,4598,63188,5277
"Hays County, Texas",0500000US48209,72058,4103,95570,5952
"Brazoria County, Texas",0500000US48039,84904,6050,105432,5668
"Harrison County, Texas",0500000US48203,58817,9901,79498,12150
"Williamson County, Texas",0500000US48491,92179,3372,109561,3213
"Orange County, Texas",0500000US48361,69052,9545,86537,6554
"Harris County, Texas",0500000US48201,61618,748,92488,1369
"Dallas County, Texas",0500000US48113,61796,872,91752,1887
"Johnson County, Texas",0500000US48251,66319,4113,81926,4729
"McLennan County, Texas",0500000US48309,50845,3041,69956,3323
"Montgomery County, Texas",0500000US48339,88695,4920,120306,5239
"Webb County, Texas",0500000US48479,56084,4178,71396,4384
"Jefferson County, Texas",0500000US48245,55797,3157,73960,3609
"Adams County, Illinois",0500000US17001,55727,4350,70658,4789
"DeKalb County, Illinois",0500000US17037,64131,4173,79542,4756
"Vermilion County, Illinois",0500000US17183,43111,5240,58935,4736
"Will County, Illinois",0500000US17197,90134,2473,108439,2661
"Williamson County, Illinois",0500000US17199,58097,4102,75721,6474
"Cape Girardeau County, Missouri",0500000US29031,57908,6876,76207,8051
"Payne County, Oklahoma",0500000US40119,41272,2754,57813,4818
"Pottawatomie County, Oklahoma",0500000US40125,53511,3677,69393,6318
"Creek County, Oklahoma",0500000US40037,54969,5332,71024,4930
"Oklahoma County, Oklahoma",0500000US40109,56235,1358,83009,3053
"Rogers County, Oklahoma",0500000US40131,66132,3533,83199,4818
"Cleveland County, Oklahoma",0500000US40027,64290,3089,83314,3949
"St. Charles County, Missouri",0500000US29183,89146,2449,106947,3247
"Marion County, Oregon",0500000US41047,64306,2008,78396,3347
"Douglas County, Oregon",0500000US41019,48585,3412,63462,4160
"Polk County, Oregon",0500000US41053,72914,9499,87386,6206
"Deschutes County, Oregon",0500000US41017,71643,5972,91480,5764
"Tarrant County, Texas",0500000US48439,70139,1343,94469,1439
"Ellis County, Texas",0500000US48139,78797,4736,95244,5994
"San Patricio County, Texas",0500000US48409,57899,3915,78550,7803
"Randall County, Texas",0500000US48381,70651,3548,89410,5310
"Wise County, Texas",0500000US48497,71421,10020,93845,8377
"Rockwall County, Texas",0500000US48397,103378,8133,133824,10004
"Taylor County, Texas",0500000US48441,55351,4625,73223,5537
"Walker County, Texas",0500000US48471,47170,10466,61332,6709
"Coryell County, Texas",0500000US48099,53504,2776,68947,6725
"Potter County, Texas",0500000US48375,37297,4242,53195,3456
"Chittenden County, Vermont",0500000US50007,76806,3335,98519,4434
"Windham County, Connecticut",0500000US09015,62106,6104,80332,5704
"New London County, Connecticut",0500000US09011,75633,4758,98102,3363
"Middlesex County, Connecticut",0500000US09007,76518,7924,100657,5600
"Tolland County, Connecticut",0500000US09013,91028,8446,118561,9317
"Fairfield County, Connecticut",0500000US09001,97053,4056,159703,4781
"Duval County, Florida",0500000US12031,58415,2395,79366,2396
"Brevard County, Florida",0500000US12009,57305,2633,78841,2413
"Clay County, Florida",0500000US12019,76687,4207,93365,6138
"Lake County, Florida",0500000US12069,57588,3264,75726,3686
"Nassau County, Florida",0500000US12089,70939,6320,87206,5679
"Pinellas County, Florida",0500000US12103,56737,1299,83277,2296
"Polk County, Florida",0500000US12105,51833,1157,67906,2451
"St. Lucie County, Florida",0500000US12111,58039,4843,72610,4170
"Indian River County, Florida",0500000US12061,59782,6204,87627,6658
"St. Johns County, Florida",0500000US12109,90356,4977,122115,6012
"Seminole County, Florida",0500000US12117,70190,3553,95285,3580
"Bay County, Florida",0500000US12005,59450,3737,76106,4750
"Flagler County, Florida",0500000US12035,60204,8605,79514,6516
"Osceola County, Florida",0500000US12097,51760,2976,68266,3989
"Walton County, Florida",0500000US12131,60457,5900,79647,8034
"Marion County, Florida",0500000US12083,49576,3427,64731,3351
"Orange County, Florida",0500000US12095,63461,1954,88304,2736
"Alachua County, Florida",0500000US12001,49534,2414,73143,4667
"Charlotte County, Florida",0500000US12015,54652,4458,74773,4135
"Martin County, Florida",0500000US12085,70842,7770,110379,10623
"Sarasota County, Florida",0500000US12115,66342,2517,94576,3902
"Manatee County, Florida",0500000US12081,64499,2535,92213,4631
"Yamhill County, Oregon",0500000US41071,72904,4546,84219,4391
"Klamath County, Oregon",0500000US41035,56348,5298,68806,5902
"Benton County, Oregon",0500000US41003,70835,5994,88001,5727
"Multnomah County, Oregon",0500000US41051,72900,2475,99033,2504
"Crawford County, Pennsylvania",0500000US42039,49428,3765,63237,3871
"Erie County, Pennsylvania",0500000US42049,51818,1845,68095,2855
"Schuylkill County, Pennsylvania",0500000US42107,56295,2054,68557,3452
"Adams County, Pennsylvania",0500000US42001,67715,4662,84262,5545
"Armstrong County, Pennsylvania",0500000US42005,57636,3751,68661,3996
"Carbon County, Pennsylvania",0500000US42025,61111,5077,82287,8746
"Centre County, Pennsylvania",0500000US42027,60706,3993,82780,6186
"Northumberland County, Pennsylvania",0500000US42097,47349,3810,60685,3395
"Northampton County, Pennsylvania",0500000US42095,74328,3380,93381,3650
"Beaver County, Pennsylvania",0500000US42007,60672,3120,75836,3250
"Lackawanna County, Pennsylvania",0500000US42069,53826,3270,73211,2943
"Fayette County, Pennsylvania",0500000US42051,48509,2743,68078,5764
"Montgomery County, Pennsylvania",0500000US42091,92302,1934,127054,2738
"Clearfield County, Pennsylvania",0500000US42033,45643,3618,57924,4391
"Lebanon County, Pennsylvania",0500000US42075,61204,4171,75913,3731
"Lycoming County, Pennsylvania",0500000US42081,53881,4811,71332,4147
"Linn County, Oregon",0500000US41043,61488,3018,74582,5362
"Butler County, Pennsylvania",0500000US42019,72262,4809,95378,5153
"Lancaster County, Pennsylvania",0500000US42071,67376,2343,88819,3737
"Mercer County, Pennsylvania",0500000US42085,54543,2750,67630,4028
"Tooele County, Utah",0500000US49045,80973,8098,87638,6820
"Washington County, Utah",0500000US49053,63595,5890,88888,7668
"Weber County, Utah",0500000US49057,72206,3200,87362,4092
"Salt Lake County, Utah",0500000US49035,80119,1727,101876,2341
"Cache County, Utah",0500000US49005,62507,3908,76347,4386
"James City County, Virginia",0500000US51095,91674,6640,110625,7566
"Henrico County, Virginia",0500000US51087,68024,3325,98334,4272
"Spotsylvania County, Virginia",0500000US51177,91073,6011,106950,6161
"Montgomery County, Virginia",0500000US51121,60045,5649,77645,6951
"Loudoun County, Virginia",0500000US51107,151800,4420,176974,5649
