Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Killeen-Temple, TX Metro Area",310M600US28660,59753,2499,75842,2952
"Kingsport-Bristol, TN-VA Metro Area",310M600US28700,48771,2671,69508,3944
"Kingston, NY Metro Area",310M600US28740,78938,3866,111011,8085
"Klamath Falls, OR Micro Area",310M600US28900,46721,7146,69475,10480
"Knoxville, TN Metro Area",310M600US28940,62592,1725,83410,2418
"Kokomo, IN Metro Area",310M600US29020,55088,3828,75193,6411
"La Crosse-Onalaska, WI-MN Metro Area",310M600US29100,61342,4078,83888,5956
"Lafayette, LA Metro Area",310M600US29180,53931,2784,73068,3142
"Lafayette-West Lafayette, IN Metro Area",310M600US29200,53559,3378,70302,3570
"LaGrange, GA-AL Micro Area",310M600US29300,49287,2921,66496,6482
"Lake Charles, LA Metro Area",310M600US29340,58736,9043,79488,5513
"Lake City, FL Micro Area",310M600US29380,54077,6421,73383,10920
"Lake Havasu City-Kingman, AZ Metro Area",310M600US29420,46616,4770,65795,4621
"Lakeland-Winter Haven, FL Metro Area",310M600US29460,56379,2073,74361,3024
"Lancaster, PA Metro Area",310M600US29540,75688,2256,95595,2907
"Lansing-East Lansing, MI Metro Area",310M600US29620,61980,1727,81241,2761
"Laredo, TX Metro Area",310M600US29700,51867,2856,70336,5442
"Las Cruces, NM Metro Area",310M600US29740,45178,5238,66893,4324
"Las Vegas-Henderson-Paradise, NV Metro Area",310M600US29820,63677,1264,87048,1783
"Laurel, MS Micro Area",310M600US29860,41012,4792,59940,8300
"Lawrence, KS Metro Area",310M600US29940,56576,5887,76297,4686
"Lawton, OK Metro Area",310M600US30020,49422,2963,66504,4431
"Lebanon, NH-VT Micro Area",310M600US30100,72588,3369,101830,5468
"Lebanon, PA Metro Area",310M600US30140,72732,4021,91294,5236
"Lewiston, ID-WA Metro Area",310M600US30300,57610,11345,83232,8712
"Lewiston-Auburn, ME Metro Area",310M600US30340,62958,4897,77088,7097
