Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Autauga County, Alabama",0500000US01001,4512,3536,3375,5561,3142,1090,414
"Baldwin County, Alabama",0500000US01003,10488,18956,14943,18604,10331,5023,5156
"Barbour County, Alabama",0500000US01005,3067,2111,1124,1184,977,156,280
"Bibb County, Alabama",0500000US01007,1763,1150,1414,2760,148,0,313
"Blount County, Alabama",0500000US01009,3898,4686,3510,4642,2001,867,419
"Butler County, Alabama",0500000US01013,1853,1570,1267,1232,507,98,286
"Calhoun County, Alabama",0500000US01015,10046,9429,7224,10022,5067,1521,955
"Chambers County, Alabama",0500000US01017,3374,2599,2212,2903,842,348,299
"Cherokee County, Alabama",0500000US01019,3020,2362,1491,1998,512,383,33
"Chilton County, Alabama",0500000US01021,3096,3973,2452,4047,1096,600,478
"Clarke County, Alabama",0500000US01025,2093,1795,1590,1757,628,204,118
"Coffee County, Alabama",0500000US01031,3376,3640,3335,4775,3389,934,724
"Colbert County, Alabama",0500000US01033,4442,4466,3394,5442,2123,698,697
"Covington County, Alabama",0500000US01039,3791,3053,1932,3394,1167,424,227
"Cullman County, Alabama",0500000US01043,5935,7498,5655,6034,3006,1282,913
"Dale County, Alabama",0500000US01045,4609,3876,2870,3789,2187,525,537
"Dallas County, Alabama",0500000US01047,4149,3965,2443,2576,821,179,298
"DeKalb County, Alabama",0500000US01049,6787,7222,3385,5518,2177,575,798
"Elmore County, Alabama",0500000US01051,5082,4305,5455,8999,4262,1138,914
"Escambia County, Alabama",0500000US01053,3781,3867,2527,2345,851,366,89
"Etowah County, Alabama",0500000US01055,6727,10578,5438,8933,5169,916,864
"Franklin County, Alabama",0500000US01059,2830,3007,1542,2209,596,635,131
"Geneva County, Alabama",0500000US01061,3193,2127,1146,2194,567,77,9
"Houston County, Alabama",0500000US01069,8553,8068,6204,7853,5327,1641,1215
