Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Autauga County, Alabama",0500000US01001,2022,4535,4063,5974,2957,1851,1103
"Baldwin County, Alabama",0500000US01003,10650,15532,18693,22631,13627,7722,5250
"Barbour County, Alabama",0500000US01005,1650,2713,1456,1675,927,74,485
"Bibb County, Alabama",0500000US01007,1943,2310,602,1470,1023,295,607
"Blount County, Alabama",0500000US01009,2943,4518,4579,4935,3270,707,993
"Butler County, Alabama",0500000US01013,1933,1857,1045,1323,702,250,146
"Calhoun County, Alabama",0500000US01015,10811,9071,6829,11371,4192,1272,1085
"Chambers County, Alabama",0500000US01017,2735,1943,2423,2592,1890,497,342
"Cherokee County, Alabama",0500000US01019,2360,2623,2410,1583,759,480,272
"Chilton County, Alabama",0500000US01021,2564,3922,2177,4115,2098,768,566
"Clarke County, Alabama",0500000US01025,1673,1613,1185,2174,1186,95,104
"Coffee County, Alabama",0500000US01031,3443,3294,4294,4108,2887,970,987
"Colbert County, Alabama",0500000US01033,4667,4324,3702,5373,4118,707,351
"Covington County, Alabama",0500000US01039,3109,3369,1943,3074,1567,473,244
"Cullman County, Alabama",0500000US01043,5160,7099,6838,7771,4990,1720,1553
"Dale County, Alabama",0500000US01045,4147,3890,2947,4483,2878,1062,375
"Dallas County, Alabama",0500000US01047,5920,2960,2640,1714,1315,438,51
"DeKalb County, Alabama",0500000US01049,6276,5783,3141,4891,2902,1318,668
"Elmore County, Alabama",0500000US01051,5091,5491,5704,7265,5975,1587,995
"Escambia County, Alabama",0500000US01053,3214,4323,2153,2038,1050,218,398
"Etowah County, Alabama",0500000US01055,8641,8188,7607,7053,4821,1050,646
"Franklin County, Alabama",0500000US01059,1983,2853,1854,2481,898,563,314
"Geneva County, Alabama",0500000US01061,2884,2139,1567,2299,580,216,354
"Houston County, Alabama",0500000US01069,8848,10559,7144,8752,5011,2047,1697
"Jackson County, Alabama",0500000US01071,4531,5276,4113,3877,1782,855,807
"Jefferson County, Alabama",0500000US01073,49292,49587,45473,56004,34635,15493,19663
"Lauderdale County, Alabama",0500000US01077,6558,8442,6963,8126,4665,2188,1308
"Lawrence County, Alabama",0500000US01079,1334,2065,3458,3577,1946,468,390
"Lee County, Alabama",0500000US01081,13881,12195,10890,14933,8160,4051,3248
"Limestone County, Alabama",0500000US01083,6208,5056,7506,7219,7149,5178,2369
"Macon County, Alabama",0500000US01087,2358,1895,1526,1189,756,345,86
"Madison County, Alabama",0500000US01089,18187,21644,24281,37696,27927,16693,18065
"Marion County, Alabama",0500000US01093,2731,2240,1412,3424,635,161,117
"Marshall County, Alabama",0500000US01095,6613,8116,6102,7397,3958,2361,1456
"Mobile County, Alabama",0500000US01097,31918,34128,28676,33703,20979,7480,6079
"Monroe County, Alabama",0500000US01099,1617,2636,1600,1374,485,105,157
"Montgomery County, Alabama",0500000US01101,19699,19172,13967,20406,10900,3965,4298
"Morgan County, Alabama",0500000US01103,8263,8829,8329,10044,7129,3056,1908
