name,state_id,metro_id,median_income
Baltimore MD,MD,512,85820.27
Flint-Saginaw-Bay City MI,MI,513,53514.59
Buffalo NY,NY,514,61238.27
Cincinnati OH,IN,515,70220.94
Erie PA,PA,516,56730.36
Charlotte NC,NC,517,67344.42
Greensboro-High Point-Winston Salem NC,NC,518,57037.01
Charleston SC,SC,519,70692.34
Augusta GA,GA,520,55049.25
Providence RI-New Bedford MA,MA,521,73990.58
Columbus GA,AL,522,50506.02
Burlington VT-Plattsburgh NY,NH,523,71053.9
Atlanta GA,GA,524,74277.99
Albany GA,GA,525,43755.15
Utica NY,NY,526,62304.06
Indianapolis IN,IN,527,65730.44
Miami-Ft. Lauderdale FL,FL,528,62921.52
Louisville KY,IN,529,61277.78
Tallahassee FL-Thomasville GA,FL,530,51330.81
Tri-Cities TN-VA,KY,531,47884.93
Albany-Schenectady-Troy NY,NY,532,73336.35
Hartford & New Haven CT,CT,533,79759.26
Orlando-Daytona Beach-Melbourne FL,FL,534,64003.32
Columbus OH,OH,535,68708.91
Youngstown OH,OH,536,51287.88
Bangor ME,ME,537,54767.53
Rochester NY,NY,538,67525.78
Tampa-St. Petersburg (Sarasota) FL,FL,539,63417.41
Traverse City-Cadillac MI,MI,540,56607.65
Lexington KY,KY,541,52245.04
Dayton OH,OH,542,62098.21
Springfield-Holyoke MA,MA,543,65990.88
Norfolk-Portsmouth-Newport News VA,NC,544,70996.08
Greenville-New Bern-Washington NC,NC,545,50461.28
Columbia SC,SC,546,54900.3
Toledo OH,MI,547,60190.24
West Palm Beach-Ft. Pierce FL,FL,548,67827.18
Watertown NY,NY,549,59530.27
Wilmington NC,NC,550,64401.47
Lansing MI,MI,551,62267.22
Presque Isle ME,ME,552,53371.72
Marquette MI,MI,553,52644.61
Wheeling WV-Steubenville OH,OH,554,51366.97
Syracuse NY,NY,555,64763.79
Richmond-Petersburg VA,VA,556,72717.19
Knoxville TN,KY,557,54585.12
Lima OH,OH,558,53077.41
Bluefield-Beckley-Oak Hill WV,VA,559,39305.29
Raleigh-Durham (Fayetteville) NC,NC,560,68626.66
Jacksonville FL,FL,561,65668.01
Grand Rapids-Kalamazoo-Battle Creek MI,MI,563,67104.89
Charleston-Huntington WV,KY,564,46814.69
Elmira NY,NY,565,59412.0
Harrisburg-Lancaster-Lebanon-York PA,PA,566,72707.65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,NC,567,58303.99
Harrisonburg VA,VA,569,64438.73
Florence-Myrtle Beach SC,NC,570,48762.6
Ft. Myers-Naples FL,FL,571,66039.16
Roanoke-Lynchburg VA,VA,573,53941.43
Johnstown-Altoona PA,PA,574,57028.16
Chattanooga TN,GA,575,56523.34
Salisbury MD,DE,576,68699.34
Wilkes Barre-Scranton PA,PA,577,60903.18
Terre Haute IN,IL,581,54395.98
Lafayette IN,IN,582,54377.01
Alpena MI,MI,583,48516.05
Charlottesville VA,VA,584,78963.88
South Bend-Elkhart IN,IN,588,61656.05
Gainesville FL,FL,592,53409.42
Zanesville OH,OH,596,52235.86
Parkersburg WV,OH,597,55013.12
Clarksburg-Weston WV,WV,598,49478.73
Corpus Christi TX,TX,600,56899.22
Chicago IL,IL,602,78186.46
Joplin MO-Pittsburg KS,KS,603,50426.24
Columbia-Jefferson City MO,MO,604,58288.5
Topeka KS,KS,605,57140.07
Dothan AL,AL,606,48405.3
St. Louis MO,IL,609,68382.64
Rockford IL,IL,610,59579.58
Rochester MN-Mason City IA-Austin MN,IA,611,70401.18
Shreveport LA,AR,612,46541.49
Minneapolis-St. Paul MN,MN,613,80610.95
Kansas City MO,KS,616,70706.09
Milwaukee WI,WI,617,68664.29
Houston TX,TX,618,70539.79
Springfield MO,AR,619,50437.52
New Orleans LA,LA,622,57163.92
Dallas-Ft. Worth TX,TX,623,74223.47
Sioux City IA,IA,624,63152.0
Waco-Temple-Bryan TX,TX,625,57367.22
Victoria TX,TX,626,55902.12
Wichita Falls TX & Lawton OK,OK,627,51625.15
Monroe LA-El Dorado AR,AR,628,40965.88
Birmingham AL,AL,630,56271.85
Ottumwa IA-Kirksville MO,IA,631,52703.3
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,632,50293.5
Odessa-Midland TX,TX,633,64087.96
Amarillo TX,NM,634,54522.2
Austin TX,TX,635,85827.35
Harlingen-Weslaco-Brownsville-McAllen TX,TX,636,45726.42
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,637,66580.36
St. Joseph MO,KS,638,52783.86
Jackson TN,TN,639,53011.13
Memphis TN,AR,640,53501.57
San Antonio TX,TX,641,65679.65
Lafayette LA,LA,642,50953.58
Lake Charles LA,LA,643,56590.84
Alexandria LA,LA,644,46976.01
Greenwood-Greenville MS,MS,647,34732.71
Champaign & Springfield-Decatur IL,IL,648,58337.63
Evansville IN,IL,649,58247.34
Oklahoma City OK,OK,650,59748.27
Lubbock TX,TX,651,56096.55
Omaha NE,IA,652,70690.84
Panama City FL,FL,656,57775.98
Sherman TX-Ada OK,OK,657,54620.55
Green Bay-Appleton WI,WI,658,66737.35
Nashville TN,KY,659,66078.7
San Angelo TX,TX,661,57726.39
Abilene-Sweetwater TX,TX,662,52184.22
Madison WI,WI,669,72139.73
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,670,61393.5
Tulsa OK,OK,671,56505.26
Columbus-Tupelo-West Point MS,MS,673,47488.55
Peoria-Bloomington IL,IL,675,62551.82
Duluth MN-Superior WI,MN,676,59828.04
Wichita-Hutchinson KS,KS,678,58831.33
Des Moines-Ames IA,IA,679,67956.94
Davenport IA-Rock Island-Moline IL,IL,682,59689.23
Mobile AL-Pensacola (Ft. Walton Beach) FL,AL,686,59637.91
Minot-Bismarck-Dickinson(Williston) ND,MT,687,67107.18
Huntsville-Decatur (Florence) AL,AL,691,62423.44
Beaumont-Port Arthur TX,TX,692,60903.33
