name,state_id,id,median_income_2011,median_income_2012,median_income_2013,median_income_2014,median_income_2015,median_income_2016,median_income_2017,median_income_2018,median_income_2019,median_income_2020
Baltimore MD,MD,512,68391.04,68928.28,69424.24,70117.38,70638.12,72217.83,74800.76,77993.55,81272.49,83348.86
Flint-Saginaw-Bay City MI,MI,513,43836.32,43635.57,43021.42,43496.56,43838.59,44553.31,46042.25,47740.96,49142.99,50455.48
Buffalo NY,NY,514,47179.47,48039.91,48387.03,48968.55,49233.45,50591.79,51997.3,54285.69,56389.05,57887.94
Cincinnati OH,IN,515,54131.45,54211.58,54087.13,54643.44,55090.73,56518.81,58975.13,61219.15,63838.19,66076.05
Erie PA,PA,516,43991.54,44754.73,44871.36,45493.37,45977.75,46963.67,47976.93,49433.01,51341.98,52756.56
Charlotte NC,NC,517,48864.53,48737.52,48484.87,49012.46,49450.97,51543.79,54278.66,57232.98,60069.53,62308.01
Greensboro-High Point-Winston Salem NC,NC,518,43877.71,43631.47,43192.88,43276.69,43419.44,44490.43,46226.15,47910.6,49875.24,51850.53
Charleston SC,SC,519,48872.9,49168.47,49293.26,49938.7,51337.74,53104.17,55926.53,58685.4,61117.21,63051.59
Augusta GA,GA,520,42677.3,43281.29,43060.47,43556.64,43916.31,44721.21,46271.06,48140.0,49992.04,52482.05
Providence RI-New Bedford MA,MA,521,57202.77,57144.5,57193.95,57337.78,58058.01,59570.83,62340.91,64829.26,68029.07,70736.74
Columbus GA,AL,522,39875.14,40133.54,40370.66,41059.39,41489.37,42206.69,43091.83,44795.01,46390.15,47730.49
Burlington VT-Plattsburgh NY,NH,523,52973.82,53689.1,54166.56,54834.71,55517.82,56834.13,58565.25,60803.97,62380.74,64372.3
Atlanta GA,GA,524,55854.32,55602.88,54937.06,55014.52,55417.62,57329.23,59846.9,62898.95,66042.7,68594.84
Albany GA,GA,525,35144.91,34685.3,34323.87,34360.19,34698.89,35378.14,37434.76,39516.63,41056.97,42324.8
Utica NY,NY,526,46341.33,47181.25,47534.11,47983.49,48133.63,49548.97,50972.98,53597.87,55920.61,59023.43
Indianapolis IN,IN,527,49248.12,49019.02,48826.98,49237.25,49785.03,51298.9,53700.78,56103.85,58538.87,60770.18
Miami-Ft. Lauderdale FL,FL,528,47953.49,47550.4,47178.55,47308.04,47636.63,48618.28,50533.38,53424.24,56111.13,58427.31
Louisville KY,IN,529,47297.86,47649.28,47839.23,48502.79,49325.72,50583.96,52988.34,55108.88,57372.25,59387.87
Tallahassee FL-Thomasville GA,FL,530,41306.3,40770.22,40718.48,40633.54,40719.06,42310.11,44132.57,45359.78,47291.81,48908.52
Tri-Cities TN-VA,KY,531,36995.89,37242.72,37289.39,37807.84,37785.3,38565.04,39544.68,40929.54,42672.65,44093.02
Albany-Schenectady-Troy NY,NY,532,56077.49,57027.89,57695.99,58244.06,58618.49,59967.98,61972.37,63896.96,66421.44,68330.36
Hartford & New Haven CT,CT,533,66634.8,66855.98,66865.55,67120.9,67391.53,68547.93,70289.72,72224.99,74431.91,75591.48
Orlando-Daytona Beach-Melbourne FL,FL,534,48320.0,47448.98,46851.14,46868.14,47118.05,48248.09,50247.06,53307.4,56359.76,59118.24
Columbus OH,OH,535,50852.7,51424.93,51606.85,52596.31,53248.05,54919.46,57258.89,59796.82,62241.77,63946.03
Youngstown OH,OH,536,42368.9,42676.01,43013.66,43374.46,43699.39,44424.13,45412.43,46527.35,47794.85,48390.66
Bangor ME,ME,537,42151.47,42568.73,42490.12,42946.0,43172.77,44540.04,46502.07,48053.64,49592.08,51810.46
Rochester NY,NY,538,53451.22,53704.56,53539.25,53476.29,53508.62,54672.07,56516.97,58620.17,61223.08,63164.43
Tampa-St. Petersburg (Sarasota) FL,FL,539,46679.32,46250.64,46156.34,46575.89,47018.26,48150.95,49920.33,52576.52,55686.37,57518.82
Traverse City-Cadillac MI,MI,540,42363.04,42437.06,42460.43,42970.7,43632.02,44884.8,46579.04,48663.62,50535.34,52819.93
Lexington KY,KY,541,39741.7,39795.67,40179.88,40575.77,41151.0,42221.18,44201.98,46077.29,48069.21,49770.49
Dayton OH,OH,542,47940.21,47673.81,47298.39,47418.74,48128.66,49578.15,51968.87,54505.25,57070.71,58732.61
Springfield-Holyoke MA,MA,543,52103.99,52855.63,52605.25,53452.49,53889.7,54772.98,56475.26,57871.65,60240.68,62208.54
Norfolk-Portsmouth-Newport News VA,NC,544,58102.59,58011.91,57901.53,58397.0,58083.7,59133.37,61253.08,63489.02,65826.52,67630.06
Greenville-New Bern-Washington NC,NC,545,42244.47,42428.56,42601.72,43195.46,43099.65,43873.74,45060.96,46467.99,48255.45,49469.42
Columbia SC,SC,546,45861.18,46117.47,46161.0,46025.02,46474.85,47415.6,48759.2,50481.87,52242.75,53335.92
Toledo OH,MI,547,46950.04,46620.72,46574.45,47093.84,47652.09,48895.39,50545.94,52789.7,55041.89,55997.2
West Palm Beach-Ft. Pierce FL,FL,548,51348.64,50343.74,49794.19,50397.16,50940.67,52960.42,55475.92,58061.13,61283.8,63309.86
Watertown NY,NY,549,45007.21,45531.79,45774.46,47179.52,47876.52,48724.8,49753.35,51332.42,52678.71,55104.26
Wilmington NC,NC,550,44801.71,45719.41,45459.63,45311.78,45637.32,47153.38,48317.46,49976.08,53358.35,55932.09
Lansing MI,MI,551,48989.34,48870.17,48637.46,48694.82,49028.1,50302.53,52660.18,55037.94,57416.64,59411.13
Presque Isle ME,ME,552,37248.46,37903.38,38153.41,38086.75,37727.09,38972.67,39919.71,41028.04,42023.51,44071.31
Marquette MI,MI,553,41170.32,40950.97,40954.33,41228.08,41386.99,42539.03,44552.79,46829.53,48891.74,49627.06
Wheeling WV-Steubenville OH,OH,554,39776.12,40791.02,40947.36,41826.47,42775.12,43160.1,45021.55,46769.35,48233.22,48512.85
Syracuse NY,NY,555,50549.34,51517.22,52034.34,52406.49,52805.06,54065.42,55916.3,58287.67,60321.56,61600.9
Richmond-Petersburg VA,VA,556,57910.95,57934.29,57930.11,58762.71,58940.31,60066.29,62558.56,64795.01,66847.27,69229.24
Knoxville TN,KY,557,41371.86,41388.36,41477.21,41587.29,42012.83,43230.0,45080.65,47088.56,49360.39,51697.72
Lima OH,OH,558,44050.99,43980.31,43479.85,44335.76,44881.9,46329.63,48447.29,50475.72,52690.86,51585.25
Bluefield-Beckley-Oak Hill WV,VA,559,34467.14,35187.87,35721.74,36572.33,37244.05,37802.63,38892.7,39349.97,40724.23,41078.03
Raleigh-Durham (Fayetteville) NC,NC,560,50395.14,50907.72,51095.92,51369.12,51764.45,53457.41,56029.25,58566.99,61116.97,63397.28
Jacksonville FL,FL,561,50779.12,50067.11,49572.87,49528.37,49669.67,51285.03,53846.96,56378.79,59110.52,60639.96
Grand Rapids-Kalamazoo-Battle Creek MI,MI,563,48065.32,48253.84,48450.43,49287.73,49923.25,51838.33,54365.16,56991.62,59570.54,62003.91
Charleston-Huntington WV,KY,564,37618.66,38729.66,39359.22,39741.48,39854.4,40501.35,41051.68,41439.44,42909.22,44373.39
Elmira NY,NY,565,45147.37,46538.45,47304.55,48163.92,48311.71,48984.83,50495.67,52262.64,54226.1,55133.16
Harrisburg-Lancaster-Lebanon-York PA,PA,566,56337.3,56807.01,57098.26,57601.81,57678.12,59127.97,61282.65,63259.42,65590.34,67899.24
Greenville-Spartanburg SC-Asheville NC-Anderson SC,NC,567,42963.46,42712.23,42685.38,43199.97,43477.3,44587.23,46418.79,48547.46,51100.5,53171.79
Harrisonburg VA,VA,569,47222.54,47220.3,47352.38,48637.88,48620.76,50179.89,52911.8,54381.72,56436.79,58589.35
Florence-Myrtle Beach SC,NC,570,38278.86,37917.04,37743.56,38151.55,38680.45,39710.69,40931.66,42558.12,44441.96,45468.98
Ft. Myers-Naples FL,FL,571,49696.77,48913.99,48494.75,48829.45,49513.39,51304.98,53828.38,56658.94,59826.8,60803.16
Roanoke-Lynchburg VA,VA,573,43387.96,43553.94,43838.09,44123.4,44579.27,45508.38,47501.66,49025.33,51016.76,52802.08
Johnstown-Altoona PA,PA,574,42864.02,43712.6,44352.37,44794.62,45538.37,46541.63,47906.47,49227.58,50881.02,52696.14
Chattanooga TN,GA,575,42037.52,41789.2,42262.06,42993.48,43498.79,44580.31,46287.64,48136.37,49940.34,51797.44
Salisbury MD,DE,576,52458.46,52164.02,52160.57,52883.85,53258.97,53790.15,56446.54,58863.87,60540.75,62587.64
Wilkes Barre-Scranton PA,PA,577,45740.16,46294.43,46822.48,47616.11,48092.38,48966.31,50807.6,52964.17,55037.72,56183.26
Terre Haute IN,IL,581,43507.64,43911.13,44159.72,44604.11,44494.63,45251.42,46421.92,48064.89,50062.56,52071.66
Lafayette IN,IN,582,44391.84,44886.84,45015.87,45074.22,46388.24,48026.43,50613.34,51514.8,52924.89,52290.28
Alpena MI,MI,583,37275.57,38462.42,38024.73,38849.0,39203.09,39848.95,41096.06,42187.33,43089.99,43761.31
Charlottesville VA,VA,584,60448.38,61355.75,61557.89,62098.79,62128.45,63787.14,66108.03,69714.08,72849.31,75301.4
South Bend-Elkhart IN,IN,588,46163.67,46043.68,45649.19,46572.61,47279.64,48597.78,50795.8,53499.73,55239.86,56829.69
Gainesville FL,FL,592,40866.74,41481.49,40679.99,41310.81,41921.96,42314.91,43724.29,46241.0,46768.73,47765.7
Zanesville OH,OH,596,41202.29,40816.28,40501.01,40910.33,41560.62,42498.09,43815.1,45507.94,47239.34,48214.7
Parkersburg WV,OH,597,43140.82,43142.47,43035.34,43081.88,42784.21,44940.57,46278.65,47472.14,48804.07,50512.0
Clarksburg-Weston WV,WV,598,37466.51,38697.94,39681.49,40692.96,41328.5,42517.57,44081.41,45092.81,46900.51,48137.42
Corpus Christi TX,TX,600,43811.6,45368.34,46208.3,47452.3,48274.19,49618.86,50583.03,52220.01,53170.63,54626.0
Chicago IL,IL,602,61727.69,61776.79,61675.74,61998.6,62476.17,64026.83,66283.54,68983.58,71819.22,74173.59
Joplin MO-Pittsburg KS,KS,603,39527.95,39736.02,40180.46,40845.73,41123.97,41983.05,43810.24,44890.36,46176.16,47289.53
Columbia-Jefferson City MO,MO,604,46622.16,46551.43,46486.17,46849.61,47070.7,48209.63,49952.16,52174.75,54318.39,56496.46
Topeka KS,KS,605,46370.41,47122.04,47242.71,48070.86,48437.72,50092.38,52438.21,53896.26,55525.94,56946.78
Dothan AL,AL,606,40908.97,41350.7,41027.55,41809.34,41961.35,42411.13,43791.69,45677.53,47289.33,47878.55
St. Louis MO,IL,609,53130.45,53099.51,53298.6,53925.49,54299.19,55858.03,57973.59,60240.1,62579.03,64502.13
Rockford IL,IL,610,49850.84,49970.74,49235.47,49898.41,50053.28,51434.7,53521.76,55312.51,56957.92,58001.83
Rochester MN-Mason City IA-Austin MN,IA,611,54179.89,54277.98,54702.05,55645.85,56733.62,58407.29,60812.75,62708.16,64741.9,67284.92
Shreveport LA,AR,612,40102.12,40761.34,41023.44,41458.87,41351.08,41317.51,41992.07,42856.49,43663.99,44697.29
Minneapolis-St. Paul MN,MN,613,61405.7,61911.05,62510.09,63496.52,64224.63,66038.25,68487.19,71107.89,74037.83,76147.76
Kansas City MO,KS,616,54753.67,55216.44,55103.51,55472.14,55910.92,57317.17,59630.73,62165.95,64867.13,66943.31
Milwaukee WI,WI,617,54463.94,54671.03,54240.99,54695.77,55435.0,56776.21,58663.95,61008.88,63332.63,64761.02
Houston TX,TX,618,57002.91,57717.86,57900.08,58891.64,59718.64,61065.73,63238.49,65625.27,67726.25,68910.35
Springfield MO,AR,619,39710.88,39817.39,39512.06,39800.77,40195.12,40956.37,42672.03,44216.4,45765.93,47222.03
New Orleans LA,LA,622,46559.3,46540.0,46764.48,46831.28,46673.01,47746.58,49120.07,50340.64,52202.99,54236.05
Dallas-Ft. Worth TX,TX,623,57256.88,57636.07,57883.28,58533.76,59169.63,60809.52,63498.73,66386.65,69241.25,71675.78
Sioux City IA,IA,624,47622.57,48521.11,49605.45,50222.39,51316.67,52682.68,54763.95,57284.71,59876.19,61339.45
Waco-Temple-Bryan TX,TX,625,44405.15,44820.85,44867.64,45727.95,45881.26,47281.17,48828.39,50657.67,52278.54,53164.91
Victoria TX,TX,626,49719.23,50060.99,50445.14,50752.7,52637.88,55557.71,57101.35,57142.57,58534.09,60012.77
Wichita Falls TX & Lawton OK,OK,627,44677.56,45519.56,45148.13,45092.21,45349.57,46004.13,47067.17,48730.69,49692.7,51571.43
Monroe LA-El Dorado AR,AR,628,36229.97,36490.46,35727.48,35490.27,34588.18,35398.78,36233.23,38353.09,39288.49,41563.27
Birmingham AL,AL,630,44581.72,44409.72,44498.15,44845.63,45289.9,46569.86,48378.53,50486.37,52652.12,54452.74
Ottumwa IA-Kirksville MO,IA,631,39239.83,39425.95,40510.91,40457.95,41211.23,42125.07,43216.99,44128.82,46279.91,47527.51
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,632,38219.93,38785.76,39124.43,39467.01,39845.0,40526.37,41854.22,43206.2,44736.29,46084.34
Odessa-Midland TX,TX,633,50204.52,51824.8,53743.48,57191.9,59356.7,61295.59,63101.69,65196.75,66420.32,67657.15
Amarillo TX,NM,634,45488.85,46023.4,46066.03,47058.42,47292.02,48410.82,49683.59,51288.45,52190.9,53559.71
Austin TX,TX,635,59319.31,59609.72,60624.64,61697.48,63154.96,65777.81,68929.16,72075.46,75512.79,80108.21
Harlingen-Weslaco-Brownsville-McAllen TX,TX,636,32211.96,32516.31,33301.32,34008.86,33952.22,35147.85,36490.54,37771.09,39526.41,41775.64
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,IA,637,51648.55,52822.19,53552.93,55030.5,55486.18,56883.46,58997.68,60920.85,62276.02,63551.25
St. Joseph MO,KS,638,45454.94,46227.52,45926.35,46130.3,47293.48,47952.77,49678.97,51360.04,53061.4,53780.05
Jackson TN,TN,639,38660.75,38942.77,39383.09,39748.97,40212.01,41748.1,43113.8,44143.71,45878.63,46654.43
Memphis TN,AR,640,43761.66,43895.84,43844.91,43993.86,44179.27,45143.67,46502.93,47718.04,49359.91,50480.24
San Antonio TX,TX,641,48723.62,49505.02,50551.32,51606.05,52264.94,54068.27,56065.9,57912.8,59813.49,61200.93
Lafayette LA,LA,642,43210.43,44049.76,44560.9,44707.25,44575.39,45350.12,45919.27,46793.23,48228.38,49595.4
Lake Charles LA,LA,643,44929.36,45453.66,45020.8,45402.08,46387.33,46671.31,47952.04,49011.23,51481.25,53180.26
Alexandria LA,LA,644,40962.47,41553.59,41579.45,41590.0,41101.47,42379.67,42674.73,44145.03,45680.85,46608.2
Greenwood-Greenville MS,MS,647,27791.1,28332.21,28759.43,29495.26,29090.95,29384.9,30523.65,31648.38,31999.54,33386.49
Champaign & Springfield-Decatur IL,IL,648,47279.81,47870.49,48232.19,48810.25,49356.81,50238.04,52150.82,53943.7,55240.2,56442.35
Evansville IN,IL,649,45960.32,46137.79,46545.32,46451.53,46698.6,47435.87,48918.97,50835.93,53020.97,54713.38
Oklahoma City OK,OK,650,46327.47,47201.32,47557.08,48667.54,49303.99,50754.12,52772.7,54602.16,56484.0,57701.44
Lubbock TX,TX,651,43098.94,43547.33,44360.7,44867.46,45574.62,46682.78,48602.88,49462.4,51493.42,52685.36
Omaha NE,IA,652,54226.7,54684.54,55249.98,55971.93,56876.3,58165.01,60738.74,63443.92,65951.83,67346.57
Panama City FL,FL,656,45089.23,44328.17,44078.12,44184.52,44159.24,45035.15,46706.25,48603.49,50982.42,54257.41
Sherman TX-Ada OK,OK,657,40976.47,40998.1,41565.27,42565.7,43190.34,44655.91,46434.28,48069.85,48864.33,51709.94
Green Bay-Appleton WI,WI,658,52021.34,52390.45,52479.63,53082.45,53627.62,54838.04,56821.94,58925.08,61355.98,63195.91
Nashville TN,KY,659,47175.26,47306.1,47652.68,48131.0,49014.19,50717.86,53630.39,56446.71,59627.97,61434.03
San Angelo TX,TX,661,44212.41,44716.05,45108.57,45709.54,47191.13,47770.14,49227.85,50332.23,52292.95,55347.55
Abilene-Sweetwater TX,TX,662,41351.85,42269.91,42389.69,42910.15,43843.6,45209.14,46500.68,47677.56,49449.01,51484.88
Madison WI,WI,669,56613.45,56672.9,56638.8,56929.58,57648.96,59340.31,61846.87,64325.1,66977.15,68247.82
Ft. Smith-Fayetteville-Springdale-Rogers AR,AR,670,43377.97,43265.6,43619.91,44423.03,44816.79,45859.08,47616.78,49627.63,51660.76,55011.06
Tulsa OK,OK,671,45190.99,45658.15,45964.58,46569.18,47152.89,48112.86,49280.24,50947.29,52777.19,53939.11
