name,state_id,id,median_income_2014,median_income_2015,median_income_2016,median_income_2017,median_income_2018,median_income_2019,median_income_2021
Baltimore MD,MD,512,70881.88,72499.03,75956.0,77210.39,79958.06,83104.75,85820.27
Flint-Saginaw-Bay City MI,MI,513,44103.4,45619.89,45651.65,46857.29,49075.39,50653.71,53514.59
Buffalo NY,NY,514,48958.45,50666.41,52488.76,53664.79,55573.31,58448.36,61238.27
Cincinnati OH,IN,515,55259.99,56563.07,59639.58,61340.97,62990.0,67120.59,70220.94
Erie PA,PA,516,45798.81,47960.91,47834.63,50582.48,49778.06,51761.04,56730.36
Charlotte NC,NC,517,50154.42,51153.29,55635.8,57647.85,59423.23,63369.42,67344.42
Greensboro-High Point-Winston Salem NC,NC,518,42906.86,44481.49,46100.39,48734.36,49097.03,52509.9,57037.01
Charleston SC,SC,519,52236.72,54337.68,55422.05,58581.08,60958.52,66939.46,70692.34
Augusta GA,GA,520,43030.48,46349.19,46431.84,47509.38,49862.05,52908.26,55049.25
Providence RI-New Bedford MA,MA,521,57060.97,60141.61,62180.05,65736.74,66216.66,70646.6,73990.58
Columbus GA,AL,522,41140.53,40521.26,43118.97,43447.41,45496.79,47540.7,50506.02
Burlington VT-Plattsburgh NY,NH,523,56032.12,56086.25,58084.76,59174.23,61446.99,62979.57,71053.9
Atlanta GA,GA,524,55017.05,57994.63,60681.29,63695.28,66725.43,69319.81,74277.99
Albany GA,GA,525,34921.99,37022.56,37196.52,39670.05,42034.36,41571.2,43755.15
Utica NY,NY,526,46878.71,50222.52,52267.72,53806.93,56191.4,57761.63,61542.35
Indianapolis IN,IN,527,50118.11,51464.16,53613.79,56576.38,57514.27,60676.94,65730.44
Miami-Ft. Lauderdale FL,FL,528,47574.43,48861.11,49895.19,53599.92,56159.24,59250.56,62921.52
Louisville KY,IN,529,49686.82,50825.55,53211.33,55256.94,56226.27,58809.25,61277.78
Tallahassee FL-Thomasville GA,FL,530,40719.87,40838.57,45286.28,46645.67,44108.76,49588.62,51330.81
Tri-Cities TN-VA,KY,531,38016.19,38470.09,38992.43,40604.13,41392.28,45107.08,47884.93
Albany-Schenectady-Troy NY,NY,532,57723.76,59807.02,60948.15,64687.4,65893.54,68776.42,73336.35
Hartford & New Haven CT,CT,533,66626.41,68291.2,70181.95,70873.06,73017.52,74380.72,79759.26
Orlando-Daytona Beach-Melbourne FL,FL,534,46964.35,48984.76,50610.25,52838.87,56855.81,59796.61,64003.32
Columbus OH,OH,535,53781.14,55384.2,57619.65,60362.14,61321.97,64938.55,68708.91
Youngstown OH,OH,536,43219.15,44014.26,45718.39,44913.0,47607.63,49710.98,51287.88
Bangor ME,ME,537,42931.34,43358.11,47786.54,48381.25,47802.54,49570.28,54767.53
Rochester NY,NY,538,51729.71,55042.12,56757.03,58045.71,60924.44,63961.48,67525.78
Tampa-St. Petersburg (Sarasota) FL,FL,539,47078.08,48580.29,50304.26,52610.85,55321.27,59375.02,63417.41
Traverse City-Cadillac MI,MI,540,43850.4,44874.89,46498.57,47791.82,50896.64,52268.84,56607.65
Lexington KY,KY,541,40540.56,42807.48,44333.62,45902.07,48100.51,50790.37,52245.04
Dayton OH,OH,542,47244.01,51160.03,52683.2,53816.71,56252.33,59176.94,62098.21
Springfield-Holyoke MA,MA,543,51813.76,55067.28,56030.23,57037.7,59330.8,63383.3,65990.88
Norfolk-Portsmouth-Newport News VA,NC,544,57268.82,58776.89,60986.36,63613.2,64054.2,68034.27,70996.08
Greenville-New Bern-Washington NC,NC,545,42626.25,43811.24,45589.1,46458.23,47701.9,49800.15,50461.28
Columbia SC,SC,546,45972.69,48347.15,48838.08,50503.38,50410.21,53514.84,54900.3
Toledo OH,MI,547,47102.12,50274.51,51168.32,52457.5,54692.8,56720.63,60190.24
West Palm Beach-Ft. Pierce FL,FL,548,50927.64,54192.01,55343.33,58250.8,60909.69,65760.63,67827.18
Watertown NY,NY,549,48841.17,47967.3,49081.79,49265.73,51955.52,54499.21,59530.27
Wilmington NC,NC,550,45534.05,46852.4,47273.64,52296.08,52852.1,58118.68,64401.47
Lansing MI,MI,551,48550.99,51649.36,52768.69,54675.52,56829.29,58296.77,62267.22
Presque Isle ME,ME,552,35555.86,37813.96,40427.73,42019.15,40579.18,38868.99,53371.72
Marquette MI,MI,553,42273.66,43879.41,43197.05,47478.32,49463.08,50290.14,52644.61
Wheeling WV-Steubenville OH,OH,554,42229.55,45019.11,44240.4,47959.13,46026.21,50116.88,51366.97
Syracuse NY,NY,555,52172.51,55808.3,56773.97,57378.03,58539.86,60728.58,64763.79
Richmond-Petersburg VA,VA,556,59902.44,59574.07,61254.17,65883.3,65861.28,66952.57,72717.19
Knoxville TN,KY,557,41088.25,43270.16,45310.66,47823.06,49368.27,52372.69,54585.12
Lima OH,OH,558,44165.91,50381.54,47640.85,52271.93,49298.11,57790.81,53077.41
Bluefield-Beckley-Oak Hill WV,VA,559,37031.15,37411.42,39249.07,38215.86,37778.5,43257.91,39305.29
Raleigh-Durham (Fayetteville) NC,NC,560,50265.68,53370.86,56474.41,59266.03,61114.19,62697.13,68626.66
Jacksonville FL,FL,561,48985.95,51701.37,55094.41,55147.62,58267.75,62672.79,65668.01
Grand Rapids-Kalamazoo-Battle Creek MI,MI,563,50435.29,52867.13,55342.43,57212.26,59117.45,61607.53,67104.89
Charleston-Huntington WV,KY,564,38466.04,39554.45,39837.54,39322.04,40944.89,45047.63,46814.69
Elmira NY,NY,565,48561.31,50230.91,50935.75,50408.61,53316.25,55838.17,59412.0
Harrisburg-Lancaster-Lebanon-York PA,PA,566,57265.43,58849.45,61542.19,64350.75,64326.12,67133.05,72707.65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,NC,567,43002.28,44836.56,47158.79,48514.61,51614.62,54686.14,58303.99
Harrisonburg VA,VA,569,51470.44,49183.12,51491.1,54022.4,53170.22,58408.93,64438.73
Florence-Myrtle Beach SC,NC,570,38934.78,40302.32,41564.59,40781.39,43400.8,47007.62,48762.6
Ft. Myers-Naples FL,FL,571,50053.64,52501.85,53839.42,56985.05,58633.9,64059.18,66039.16
Roanoke-Lynchburg VA,VA,573,45587.98,45906.79,46770.75,49659.15,48369.43,53183.38,53941.43
Johnstown-Altoona PA,PA,574,45795.04,47310.76,47809.66,48882.13,49850.32,52724.17,57028.16
Chattanooga TN,GA,575,43905.09,44892.99,44864.83,47108.7,50466.41,53129.26,56523.34
Salisbury MD,DE,576,55205.89,54824.98,54543.57,58483.96,58950.04,60921.82,68699.34
Wilkes Barre-Scranton PA,PA,577,47231.92,50386.74,50473.48,51921.02,54438.43,56246.01,60903.18
Terre Haute IN,IL,581,43793.76,44583.93,46460.03,47656.06,50860.79,52081.97,54395.98
Lafayette IN,IN,582,46246.04,50040.56,52759.82,53671.9,49993.08,49325.34,54377.01
Alpena MI,MI,583,38323.33,40674.93,41711.67,39542.7,42566.2,41480.87,48516.05
Charlottesville VA,VA,584,60771.49,67385.41,64927.98,70210.04,71981.61,75381.89,78963.88
South Bend-Elkhart IN,IN,588,48505.21,49333.24,51232.21,54338.04,55728.53,55388.41,61656.05
Gainesville FL,FL,592,43708.94,44456.77,41429.09,43080.95,48400.58,47271.04,53409.42
