,geo,year
0,US-MD-512,2020
1,US-MI-513,2020
2,US-NY-514,2020
3,US-IN-515,2020
4,US-PA-516,2020
5,US-NC-517,2020
6,US-NC-518,2020
7,US-SC-519,2020
8,US-GA-520,2020
9,US-MA-521,2020
10,US-AL-522,2020
11,US-NH-523,2020
12,US-GA-524,2020
13,US-GA-525,2020
14,US-NY-526,2020
15,US-IN-527,2020
16,US-FL-528,2020
17,US-IN-529,2020
18,US-FL-530,2020
19,US-KY-531,2020
20,US-NY-532,2020
21,US-CT-533,2020
22,US-FL-534,2020
23,US-OH-535,2020
24,US-OH-536,2020
25,US-ME-537,2020
26,US-NY-538,2020
27,US-FL-539,2020
28,US-MI-540,2020
29,US-KY-541,2020
30,US-OH-542,2020
31,US-MA-543,2020
32,US-NC-544,2020
33,US-NC-545,2020
34,US-SC-546,2020
35,US-MI-547,2020
36,US-FL-548,2020
37,US-NY-549,2020
38,US-NC-550,2020
39,US-MI-551,2020
40,US-ME-552,2020
41,US-MI-553,2020
42,US-OH-554,2020
43,US-NY-555,2020
44,US-VA-556,2020
45,US-KY-557,2020
46,US-OH-558,2020
47,US-VA-559,2020
48,US-NC-560,2020
49,US-FL-561,2020
50,US-MI-563,2020
51,US-KY-564,2020
52,US-NY-565,2020
53,US-PA-566,2020
54,US-NC-567,2020
55,US-VA-569,2020
56,US-NC-570,2020
57,US-FL-571,2020
58,US-VA-573,2020
59,US-PA-574,2020
60,US-GA-575,2020
61,US-DE-576,2020
62,US-PA-577,2020
63,US-IL-581,2020
64,US-IN-582,2020
65,US-MI-583,2020
66,US-VA-584,2020
67,US-IN-588,2020
68,US-FL-592,2020
69,US-OH-596,2020
70,US-OH-597,2020
71,US-WV-598,2020
72,US-TX-600,2020
73,US-IL-602,2020
74,US-KS-603,2020
75,US-MO-604,2020
76,US-KS-605,2020
77,US-AL-606,2020
78,US-IL-609,2020
79,US-IL-610,2020
80,US-IA-611,2020
81,US-AR-612,2020
82,US-MN-613,2020
83,US-KS-616,2020
84,US-WI-617,2020
85,US-TX-618,2020
86,US-AR-619,2020
87,US-LA-622,2020
88,US-TX-623,2020
89,US-IA-624,2020
